Time,Duration,Refresh count,Skystone spent,Gold spent,Covenant bookmark,Mystic medal
2026-07-07 09:10:05.459906,0:36:27.806638,316,948,2496000,9,3
2026-07-07 10:07:29.504993,0:41:45.560203,379,1137,4056000,19,2
2026-07-07 11:41:35.424861,0:00:03.007043,0,0,0,0,0
2026-07-07 11:41:48.922127,0:00:09.385792,1,3,0,0,0
2026-07-07 11:42:07.595635,0:00:29.912324,4,12,0,0,0
2026-07-07 11:42:55.061170,0:01:18.947363,11,33,184000,1,0
2026-07-07 12:22:40.282063,0:01:54.864835,15,45,464000,1,1
2026-07-07 12:24:41.032139,0:00:02.377678,0,0,0,0,0
2026-07-07 12:24:51.611243,1:41:17.783254,924,2772,6832000,28,6
2026-07-07 14:06:51.617505,0:20:23.381650,186,558,1104000,6,0
2026-07-07 16:54:31.597477,0:44:56.451821,403,1209,4344000,16,5
